iter	Passed	Remaining
0	289	288722
1	442	220643
2	596	198307
3	758	188962
4	960	191219
5	1188	196814
6	1357	192640
7	1511	187473
8	1675	184465
9	1825	180749
10	1982	178223
11	2132	175606
12	2301	174732
13	2461	173340
14	2620	172054
15	2769	170330
16	2933	169613
17	3089	168554
18	3254	168043
19	3414	167327
20	3581	166959
21	3749	166666
22	3903	165799
23	4057	164986
24	4216	164427
25	4369	163686
26	4624	166654
27	4856	168599
28	5026	168308
29	5252	169837
30	5463	170791
31	5623	170100
32	5770	169102
33	5936	168665
34	6086	167810
35	6236	167001
36	6377	165985
37	6515	164951
38	6654	163978
39	6802	163268
40	7188	168137
41	7404	168895
42	7557	168190
43	7798	169445
44	7991	169589
45	8143	168891
46	8289	168081
47	8439	167381
48	8596	166840
49	8744	166137
50	9028	168003
51	9436	172025
52	9638	172214
53	9938	174111
54	10119	173874
55	10297	173584
56	10614	175605
57	10906	177133
58	11200	178644
59	11413	178805
60	11567	178058
61	11767	178023
62	11945	177666
63	12151	177717
64	12339	177497
65	12659	179150
66	12824	178589
67	13021	178475
68	13206	178192
69	13427	178390
70	13765	180108
71	14119	181982
72	14444	183423
73	14800	185207
74	15108	186334
75	15348	186604
76	15587	186844
77	15754	186224
78	15900	185366
79	16077	184893
80	16257	184446
81	16485	184554
82	16690	184395
83	16872	183994
84	17060	183649
85	17217	182987
86	17369	182278
87	17521	181585
88	17668	180857
89	17876	180747
90	18123	181033
91	18316	180777
92	18460	180039
93	18618	179450
94	18872	179782
95	19107	179931
96	19304	179706
97	19501	179491
98	19658	178914
99	19800	178203
100	20129	179169
101	20339	179070
102	20511	178624
103	20875	179849
104	21117	180004
105	21304	179682
106	21518	179586
107	21694	179177
108	21909	179092
109	22055	178451
110	22278	178424
111	22444	177951
112	22635	177682
113	22786	177094
114	22940	176542
115	23124	176227
116	23323	176021
117	23489	175573
118	23641	175023
119	23825	174720
120	23988	174262
121	24148	173787
122	24305	173303
123	24458	172790
124	24612	172290
125	24768	171807
126	24920	171305
127	25076	170831
128	25229	170346
129	25391	169930
130	25585	169723
131	25863	170072
132	26190	170733
133	26389	170544
134	26583	170330
135	26786	170173
136	26987	170003
137	27169	169713
138	27705	171616
139	28521	175204
140	28845	175730
141	29284	176943
142	29652	177706
143	30068	178742
144	30315	178757
145	30489	178345
146	30768	178540
147	31028	178624
148	31298	178757
149	31534	178692
150	31736	178436
151	31926	178116
152	32151	177986
153	32383	177900
154	32554	177474
155	32729	177076
156	32959	176975
157	33161	176718
158	33368	176497
159	33547	176125
160	33751	175883
161	33912	175426
162	34106	175136
163	34421	175465
164	34663	175416
165	34821	174948
166	35134	175252
167	35345	175045
168	35502	174572
169	35653	174073
170	35832	173712
171	36010	173351
172	36187	172989
173	36333	172479
174	36532	172223
175	36774	172172
176	36932	171726
177	37142	171525
178	37304	171100
179	37609	171331
180	37818	171124
181	37970	170660
182	38198	170536
183	38350	170076
184	38613	170107
185	38790	169761
186	38976	169453
187	39166	169165
188	39381	168986
189	39567	168683
190	39763	168424
191	40151	168971
192	40334	168650
193	40486	168208
194	40642	167779
195	40804	167379
196	41074	167424
197	41285	167227
198	41443	166814
199	41583	166334
200	41756	165987
201	41911	165573
202	42084	165228
203	42255	164880
204	42419	164506
205	42589	164154
206	42744	163752
207	42895	163332
208	43046	162918
